"x","y"
0.195079322844749,0.32417463082921
0.530843379792203,-0.905351664186465
-0.0689468734874382,-1.48087679743369
0.0851567979540905,0.0460626544963258
1.31015313995069,0.779189115591429
1.76382497918155,1.83831686276948
3.33919237361608,1.98589378121761
3.61670735263997,1.89894356229913
6.09353355293659,2.47861470364041
4.75954254626941,1.54791431463585
3.72471543980675,2.79431661776687
3.31954933812231,2.17162106898225
4.34189806696552,2.74444718057094
4.71757316221336,2.97647600006733
3.63910151379144,2.57461756419958
4.44216345183961,2.63257711188057
3.44901101118298,2.75299071290907
4.40190141386728,2.55177513385901
5.43441215684301,1.05959125024709
5.62810533377115,1.47241225693121
6.44630644488953,1.24023901494856
6.46286139696172,1.86977952530483
7.47877748932978,2.48665059181588
9.10720922995463,4.09868895906813
8.95578980398636,4.55112644609478
8.56016563448474,5.49924261606548
9.73313167454865,5.18039150215121
8.48271317700097,5.00456115672741
9.39994482124711,4.75450770552098
10.5178423658357,5.76270663534592
12.4906866970799,5.08576622233987
12.5173329136154,5.58832446116578
15.3424510105489,6.34161814363764
14.8666350880664,6.64922158954488
15.3272237599633,8.33612360861794
16.0207017005497,9.15729828515369
16.7389038785218,7.668891080327
17.5088520235331,8.14007500534209
18.9784057915264,7.67978343631249
19.4148562270631,8.35576283132859
18.9966067883377,9.08773159120186
17.6459646641649,9.19025560108332
17.6446007032034,9.51681157895308
18.341993764557,9.58819087853645
17.4255664405715,8.74355182473879
16.475851355155,9.06611862529657
17.9770618115951,8.16704900297773
19.108060024176,6.50072078293044
19.5716327514717,5.34493464005622
19.4130171476479,5.41326358990205
20.5917900735047,6.5080661917625
21.3471368614523,7.02506817348971
20.2002714916261,6.78197889291994
20.8698486578927,5.18153819155299
20.3239159034295,5.86483231845079
19.2220220207638,5.94158350754926
20.0838348692533,5.61093588899459
21.0075646866946,5.47144634254125
20.7698422526093,6.08331467144692
19.5359682465419,5.6417782075536
19.6503886715976,5.88244988196032
19.946657525774,4.97434198207545
18.9230602764574,6.38130285345739
18.6726207337795,8.19079927030826
17.1552325077652,7.16457275306595
18.6930803500805,7.29245043213652
19.4272207759823,7.85281091175493
19.2198195713327,8.28177145950306
19.4265244870604,9.57469591299834
18.9188467801273,10.3530886222578
19.0788431964828,11.2764244896866
19.0764801381432,10.3438644256301
19.1914293829598,9.6944658074408
19.0210658611297,10.496530824971
18.8600988874664,9.8826564875307
20.3387918940629,8.86272692554409
20.070906219498,9.43867055552276
21.7046919067999,9.43961043299613
22.3685770274032,9.79087565265586
22.5476792734184,7.97658568787823
24.0370632158797,6.67798885250774
24.9853202431727,5.76602348944981
25.0250195912241,4.5480243171724
24.1854614701078,3.93675126758557
24.1325111067149,3.72960047382507
24.3082402140963,4.1426379667267
25.0194863486981,1.28780348946704
25.0636489080218,1.98316418896485
23.7100550335071,1.61892416195158
24.3474175616837,0.735906629792743
22.1178663099094,1.47682645609167
23.9759947714206,0.578074867813194
23.9394463509585,-1.0086633334382
24.4499148699495,-0.355736479502853
23.7714035248912,-1.31803886654203
23.3079770718876,-2.34521303965259
21.9705334668423,-0.367110714779171
23.6370226638492,0.447423620510406
23.5174783630494,-0.982228104043336
23.4486529034583,-2.03353525152514
