Dependent Variable: Y,,,,
Method: Least Squares,,,,
Date: 06/23/22   Time: 17:28,,,,
Sample: 2000Q1 2025Q4,,,,
Included observations: 104,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,-1.019465,0.903251,-1.128662,0.2617
X,-0.936667,0.191958,-4.879544,0.0000
,,,,
R-squared,0.189253,    Mean dependent var,,2.773792
Adjusted R-squared,0.181305,    S.D. dependent var,,5.183880
S.E. of regression,4.690467,    Akaike info criterion,,5.947985
Sum squared resid,2244.049,    Schwarz criterion,,5.998838
Log likelihood,-307.2952,    Hannan-Quinn criter.,,5.968587
F-statistic,23.80995,    Durbin-Watson stat,,0.101596
Prob(F-statistic),0.000004,,,
,,,,
