dateid01,x,y,z
01/01/1990,0.100968027,0.169868968,1.050138573
01/01/1990 01:00,-0.046935069,-1.660086247,-0.224596511
01/01/1990 02:00,0.315857497,-2.265848504,1.090608974
01/01/1990 03:00,1.084983198,-0.997049039,1.315723281
01/01/1990 04:00,2.077584595,-0.399166457,2.285053778
01/01/1990 05:00,1.788423502,-0.277470242,4.417273825
01/01/1990 06:00,0.875895878,0.17856586,6.557372062
01/01/1990 07:00,1.308014091,1.049395697,6.737372463
01/01/1990 08:00,1.002045772,2.525336998,8.069301818
01/01/1990 09:00,2.325645124,2.73637676,8.903363093
01/01/1990 10:00,2.051587013,2.761083361,9.861058889
01/01/1990 11:00,0.876283314,4.261301385,9.049714961
01/01/1990 12:00,0.064837314,5.378660393,8.286670007
01/01/1990 13:00,-0.124561406,6.444703577,8.386373464
01/01/1990 14:00,-0.245318649,5.739393719,8.970810566
01/01/1990 15:00,0.151743149,6.790738394,9.014549752
01/01/1990 16:00,1.213497964,5.597437256,9.697737641
01/01/1990 17:00,-0.198564302,5.541092722,9.830894965
01/01/1990 18:00,-0.385868544,5.706441688,9.392199014
01/01/1990 19:00,0.553683049,4.181870481,8.686063688
01/01/1990 20:00,1.218478271,4.544374075,10.7083057
01/01/1990 21:00,0.208146227,4.831077337,10.61873848
01/01/1990 22:00,1.995679568,4.819173302,9.67887027
01/01/1990 23:00,1.636261702,6.615870761,8.490134033
02/01/1990,1.840332216,6.134151342,10.60556742
02/01/1990 01:00,2.267763709,4.781000533,9.805184595
02/01/1990 02:00,2.764135176,5.064345846,10.96884349
02/01/1990 03:00,1.785269136,5.853400932,11.8405415
02/01/1990 04:00,2.422933087,6.206111084,12.62060088
02/01/1990 05:00,3.995801783,5.743022884,13.27794347
02/01/1990 06:00,5.975621842,4.636841194,13.17964812
02/01/1990 07:00,5.787420017,3.619445961,12.93522554
02/01/1990 08:00,3.850919603,3.042217651,13.63373841
02/01/1990 09:00,5.782883543,3.039583118,14.83013153
02/01/1990 10:00,5.361646705,2.523212436,16.40113241
02/01/1990 11:00,5.470941429,-0.00531777,15.35280952
02/01/1990 12:00,5.166972098,-0.140778734,15.95632924
02/01/1990 13:00,7.26045284,0.471584607,16.20123818
02/01/1990 14:00,8.567509229,-0.114595091,16.19590214
02/01/1990 15:00,7.956648242,-0.337782893,16.02584252
02/01/1990 16:00,7.162305245,-2.123209602,16.07371356
02/01/1990 17:00,4.63957221,-1.681207318,16.07312386
02/01/1990 18:00,6.876577288,0.509997576,16.54708827
02/01/1990 19:00,6.179872007,1.239938852,15.17543877
02/01/1990 20:00,6.027762062,-0.053222921,15.04867149
02/01/1990 21:00,6.218885709,-0.126012448,15.33846592
02/01/1990 22:00,6.869383196,0.174854936,15.56353972
02/01/1990 23:00,6.816770344,0.527177549,13.88678312
03/01/1990,5.88175674,0.124042249,15.47545316
03/01/1990 01:00,5.417922128,0.01939695,13.1412072
03/01/1990 02:00,5.931406378,-1.200444529,12.47823748
03/01/1990 03:00,5.572871741,-1.090516596,10.71592791
03/01/1990 04:00,7.671425523,-0.457470248,8.365139196
03/01/1990 05:00,6.553430208,-0.461278073,8.128118229
03/01/1990 06:00,6.371846825,1.39563655,6.8513781
03/01/1990 07:00,7.436289234,0.462758675,8.076503323
03/01/1990 08:00,8.38755068,-0.280922783,8.363137012
03/01/1990 09:00,7.051815128,-0.338903165,8.142008169
03/01/1990 10:00,8.895367067,-1.448546126,7.737569031
03/01/1990 11:00,10.5469956,-1.229690671,8.535094593
03/01/1990 12:00,11.10876885,-0.501102919,8.342430019
03/01/1990 13:00,9.681756198,-0.798424252,8.108453248
03/01/1990 14:00,8.536718651,-1.762237457,6.615938669
03/01/1990 15:00,7.992487047,-0.089568579,8.468217229
03/01/1990 16:00,8.135219193,-0.715717429,7.258740266
