Dependent Variable: Y,,,,
Method: Least Squares,,,,
Date: 06/23/22   Time: 17:28,,,,
Sample: 2000Q1 2025Q4,,,,
Included observations: 104,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,3.800179,0.511661,7.427141,0.0000
X,0.848260,0.115120,7.368471,0.0000
,,,,
R-squared,0.347385,    Mean dependent var,,7.014878
Adjusted R-squared,0.340987,    S.D. dependent var,,3.358132
S.E. of regression,2.726118,    Akaike info criterion,,4.862678
Sum squared resid,758.0354,    Schwarz criterion,,4.913531
Log likelihood,-250.8592,    Hannan-Quinn criter.,,4.883280
F-statistic,54.29437,    Durbin-Watson stat,,0.222083
Prob(F-statistic),0.000000,,,
,,,,
