Dependent Variable: Y,,,,
Method: Least Squares,,,,
Date: 06/23/22   Time: 17:28,,,,
Sample: 2000Q1 2025Q4,,,,
Included observations: 104,,,,
,,,,
Variable,Coefficient,Std. Error,t-Statistic,Prob.  
,,,,
C,5.001206,0.323706,15.44986,0.0000
X,0.925760,0.059768,15.48919,0.0000
,,,,
R-squared,0.701680,    Mean dependent var,,3.400176
Adjusted R-squared,0.698756,    S.D. dependent var,,5.699734
S.E. of regression,3.128341,    Akaike info criterion,,5.137926
Sum squared resid,998.2246,    Schwarz criterion,,5.188780
Log likelihood,-265.1722,    Hannan-Quinn criter.,,5.158528
F-statistic,239.9151,    Durbin-Watson stat,,0.127002
Prob(F-statistic),0.000000,,,
,,,,
