_date_,x
2020-01-01,0.29793700835773772
2020-01-02,0.9607962356334632
2020-01-03,0.63640922765893856
2020-01-04,0.099537910153020496
2020-01-05,0.34647319183280344
2020-01-06,0.077048271945232784
2020-01-07,0.65464506012191448
2020-01-08,0.013684141632210656
2020-01-09,0.12055431018641972
2020-01-10,0.69467108127127064
2020-01-11,0.3414110508520294
2020-01-12,0.41659285130028568
2020-01-13,0.91681903013165808
2020-01-14,0.14200185879059978
2020-01-15,0.54525290550629472
2020-01-16,0.28041220660443832
2020-01-17,0.70223082853107096
2020-01-18,0.01883981143998348
2020-01-19,0.8120771194222048
2020-01-20,0.6604937437584992
2020-01-21,0.3685667174780436
2020-01-22,0.27817317791159592
2020-01-23,0.72010169124231192
2020-01-24,0.83154104536598176
2020-01-25,0.90036530952850528
2020-01-26,0.17505901271576562
2020-01-27,0.32240466834830616
2020-01-28,0.64730394416545088
2020-01-29,0.35414701678008352
2020-01-30,0.60436595099525616
2020-01-31,0.2491404974557838
2020-02-01,0.4300701784833236
2020-02-02,0.6535172656450412
2020-02-03,0.97193197781925168
2020-02-04,0.19714903898578128
2020-02-05,0.32579134160007684
2020-02-06,0.39586267908245288
2020-02-07,0.4626431111768392
2020-02-08,0.2235701171483706
2020-02-09,0.37320520996009024
2020-02-10,0.51028854127945464
2020-02-11,0.4922298604265272
2020-02-12,0.5685731169224468
2020-02-13,0.6343603293466444
2020-02-14,0.84482288928871824
2020-02-15,0.7216905620699128
2020-02-16,0.66506753021719424
2020-02-17,0.26093782902956584
2020-02-18,0.17873173785636176
2020-02-19,0.47487223527981824
2020-02-20,0.019757971449643196
2020-02-21,0.5638465996687436
2020-02-22,0.11729461496266302
2020-02-23,0.17438277171502014
2020-02-24,0.96804035699445872
2020-02-25,0.12416683387179028
2020-02-26,0.44554392862401152
2020-02-27,0.83505723720558976
2020-02-28,0.78895548430221968
2020-02-29,0.81468812125802768
2020-03-01,0.93279083965522624
2020-03-02,0.3986059325803408
2020-03-03,0.35030703589553556
2020-03-04,0.25249585550198296
2020-03-05,0.0083488219385057232
2020-03-06,0.0062329791821598144
2020-03-07,0.61973112263438112
2020-03-08,0.79726596799281936
2020-03-09,0.53216672788384088
2020-03-10,0.73485688656698048
2020-03-11,0.73062328376828416
2020-03-12,0.97900287003083648
2020-03-13,0.58210707240427832
2020-03-14,0.8497177642813432
2020-03-15,0.21569648239547236
2020-03-16,0.1662140600998434
2020-03-17,0.12968107494686642
2020-03-18,0.74309744076712384
2020-03-19,0.49406113765836304
2020-03-20,0.9389493703472904
2020-03-21,0.82781709132388048
2020-03-22,0.8504839228976992
2020-03-23,0.24605020642436904
2020-03-24,0.48547404793783856
2020-03-25,0.78387144588905232
2020-03-26,0.62700599474889592
2020-03-27,0.54615784608285048
2020-03-28,0.20537059890330676
2020-03-29,0.59518379146156544
2020-03-30,0.38548303117358376
2020-03-31,0.96517220558234304
2020-04-01,0.66539065376648
2020-04-02,0.56562641957361336
2020-04-03,0.73982558934011216
2020-04-04,0.0017159886553559378
2020-04-05,0.36239162408264832
2020-04-06,0.8695045487551744
2020-04-07,0.40858287892127328
2020-04-08,0.3863221115522444
2020-04-09,0.31844876602160156
2020-04-10,0.28049532541324496
2020-04-11,0.75345513310438432
2020-04-12,0.18139385253401352
2020-04-13,0.1007565493108693
2020-04-14,0.14045598687136218
2020-04-15,0.59436138449523688
2020-04-16,0.06110075976451812
2020-04-17,0.083037950221376048
